temperature,x_R32,x_bmimpf6,pressure
283.2,0.025,0.975,13034.175
283.2,0.026,0.974,9800
283.2,0.05,0.95,36210.2
283.2,0.075,0.925,59628.075
283.2,0.1,0.9,83287.8
283.2,0.106,0.894,99600
283.2,0.125,0.875,107189.375
283.2,0.15,0.85,131332.8
283.2,0.175,0.825,155718.075
283.2,0.2,0.8,180345.2
283.2,0.225,0.775,205214.175
283.2,0.25,0.75,230325
283.2,0.271,0.729,249700
283.2,0.275,0.725,255677.675
283.2,0.3,0.7,281272.2
283.2,0.325,0.675,307108.575
283.2,0.35,0.65,333186.8
283.2,0.375,0.625,359506.875
283.2,0.4,0.6,386068.8
283.2,0.425,0.575,412872.575
283.2,0.428,0.572,399600
283.2,0.45,0.55,439918.2
283.2,0.475,0.525,467205.675
283.2,0.5,0.5,494735
283.2,0.525,0.475,522506.175
283.2,0.55,0.45,550519.2
283.2,0.558,0.442,549700
283.2,0.575,0.425,578774.075
283.2,0.6,0.4,607270.8
283.2,0.625,0.375,636009.375
283.2,0.65,0.35,699600
283.2,0.675,0.325,694212.075
283.2,0.7,0.3,723676.2
283.2,0.725,0.275,753382.175
283.2,0.75,0.25,783330
283.2,0.775,0.225,813519.675
283.2,0.8,0.2,843951.2
283.2,0.815,0.185,849500
298.1,0.025,0.975,23809.74969
298.1,0.05,0.95,57418.0975
298.1,0.075,0.925,91088.69156
298.1,0.076,0.924,99500
298.1,0.1,0.9,124895.18
298.1,0.125,0.875,158911.2109
298.1,0.15,0.85,193210.4325
298.1,0.175,0.825,227866.4928
298.1,0.19,0.81,249700
298.1,0.2,0.8,262953.04
298.1,0.225,0.775,298543.7222
298.1,0.25,0.75,334712.1875
298.1,0.275,0.725,371532.0841
298.1,0.297,0.703,399800
298.1,0.3,0.7,409077.06
298.1,0.325,0.675,447420.7634
298.1,0.35,0.65,486636.8425
298.1,0.375,0.625,526798.9453
298.1,0.39,0.61,549700
298.1,0.4,0.6,567980.72
298.1,0.425,0.575,610255.8147
298.1,0.45,0.55,653697.8775
298.1,0.475,0.525,699500
298.1,0.5,0.5,744377.5
298.1,0.525,0.475,791762.3559
298.1,0.55,0.45,840608.7725
298.1,0.552,0.448,850100
298.1,0.575,0.425,890990.3978
298.1,0.6,0.4,942980.88
298.1,0.625,0.375,996653.8672
298.1,0.628,0.372,999900
323.1,0.025,0.975,51128.5
323.1,0.047,0.953,99500
323.1,0.05,0.95,104719
323.1,0.075,0.925,160221.5
323.1,0.1,0.9,217636
323.1,0.113,0.887,249600
323.1,0.125,0.875,276962.5
323.1,0.15,0.85,338201
323.1,0.174,0.826,399500
323.1,0.175,0.825,401351.5
323.1,0.2,0.8,466414
323.1,0.225,0.775,533388.5
323.1,0.231,0.769,549700
323.1,0.25,0.75,602275
323.1,0.275,0.725,673073.5
323.1,0.285,0.715,699600
323.1,0.3,0.7,745784
323.1,0.325,0.675,820406.5
323.1,0.335,0.665,849600
323.1,0.35,0.65,896941
323.1,0.375,0.625,975387.5
323.1,0.382,0.618,999600
348.1,0.025,0.975,85755.0625
348.1,0.029,0.971,99700
348.1,0.05,0.95,175180.25
348.1,0.07,0.93,249500
348.1,0.075,0.925,267955.5625
348.1,0.1,0.9,364081
348.1,0.109,0.891,399400
348.1,0.125,0.875,463556.5625
348.1,0.146,0.854,549800
348.1,0.15,0.85,566382.25
348.1,0.175,0.825,672558.0625
348.1,0.182,0.818,699700
348.1,0.2,0.8,782084
348.1,0.214,0.786,849600
348.1,0.225,0.775,894960.0625
348.1,0.248,0.752,999900
